year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2002,0.8700000000000001,BA_Forest_NonForest,seasonal_djf,ESB
2003,0.047,BA_Forest_NonForest,seasonal_djf,ESB
2004,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2005,0.002,BA_Forest_NonForest,seasonal_djf,ESB
2006,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2007,0.18,BA_Forest_NonForest,seasonal_djf,ESB
2008,0.765,BA_Forest_NonForest,seasonal_djf,ESB
2009,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2010,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2011,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2012,0.017,BA_Forest_NonForest,seasonal_djf,ESB
2013,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2014,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2015,0.008,BA_Forest_NonForest,seasonal_djf,ESB
2016,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2017,0.003,BA_Forest_NonForest,seasonal_djf,ESB
2018,0.002,BA_Forest_NonForest,seasonal_djf,ESB
2019,5.111999999999998,BA_Forest_NonForest,seasonal_djf,ESB
2020,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2021,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2022,0.0,BA_Forest_NonForest,seasonal_djf,ESB
2023,0.09,BA_Forest_NonForest,seasonal_djf,ESB
