year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_djf,ECU
2003,0.0,Cem_Total,seasonal_djf,ECU
2004,0.012003615357919025,Cem_Total,seasonal_djf,ECU
2005,0.016977249826266087,Cem_Total,seasonal_djf,ECU
2006,0.04902634702723793,Cem_Total,seasonal_djf,ECU
2007,0.010236669042758904,Cem_Total,seasonal_djf,ECU
2008,0.03502651522309905,Cem_Total,seasonal_djf,ECU
2009,0.005964253590960129,Cem_Total,seasonal_djf,ECU
2010,0.025757639131549562,Cem_Total,seasonal_djf,ECU
2011,0.00837332769043749,Cem_Total,seasonal_djf,ECU
2012,0.0051130161533556266,Cem_Total,seasonal_djf,ECU
2013,0.007431735010155841,Cem_Total,seasonal_djf,ECU
2014,0.04999073642990579,Cem_Total,seasonal_djf,ECU
2015,0.007662162079531549,Cem_Total,seasonal_djf,ECU
2016,0.0,Cem_Total,seasonal_djf,ECU
2017,0.06648103552988614,Cem_Total,seasonal_djf,ECU
2018,0.018722309808555142,Cem_Total,seasonal_djf,ECU
2019,0.009610238832927224,Cem_Total,seasonal_djf,ECU
2020,0.05842136480688872,Cem_Total,seasonal_djf,ECU
