year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2003,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2004,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2005,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2006,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2007,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2008,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2009,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2010,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2011,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2012,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2013,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2014,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2015,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2016,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2017,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2018,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2019,0.0,Cem_Forest_NonForest,seasonal_mam,TN
2020,0.0,Cem_Forest_NonForest,seasonal_mam,TN
