year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2002,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2003,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2004,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2005,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2006,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2007,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2008,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2009,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2010,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2011,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2012,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2013,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2014,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2015,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2016,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2017,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2018,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2019,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2020,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2021,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2022,0.0,BA_Forest_NonForest,seasonal_mam,DJ
2023,0.0,BA_Forest_NonForest,seasonal_mam,DJ
