year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,yearly_jj,DK
2003,0.0012229976037639464,Cem_Forest_NonForest,yearly_jj,DK
2004,0.0011150751603318024,Cem_Forest_NonForest,yearly_jj,DK
2005,0.0005925322187205811,Cem_Forest_NonForest,yearly_jj,DK
2006,0.0,Cem_Forest_NonForest,yearly_jj,DK
2007,0.001029300119817566,Cem_Forest_NonForest,yearly_jj,DK
2008,0.0,Cem_Forest_NonForest,yearly_jj,DK
2009,0.00028327240928369146,Cem_Forest_NonForest,yearly_jj,DK
2010,0.0,Cem_Forest_NonForest,yearly_jj,DK
2011,0.0,Cem_Forest_NonForest,yearly_jj,DK
2012,0.0,Cem_Forest_NonForest,yearly_jj,DK
2013,0.00023356643478759766,Cem_Forest_NonForest,yearly_jj,DK
2014,0.0,Cem_Forest_NonForest,yearly_jj,DK
2015,0.0,Cem_Forest_NonForest,yearly_jj,DK
2016,0.0009638435322045899,Cem_Forest_NonForest,yearly_jj,DK
2017,0.0,Cem_Forest_NonForest,yearly_jj,DK
2018,0.0,Cem_Forest_NonForest,yearly_jj,DK
2019,0.0,Cem_Forest_NonForest,yearly_jj,DK
2020,0.0,Cem_Forest_NonForest,yearly_jj,DK
