year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2003,0.0009982329633323058,Cem_Forest_NonForest,seasonal_mam,DK
2004,0.0005332190385562287,Cem_Forest_NonForest,seasonal_mam,DK
2005,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2006,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2007,0.000505579015524353,Cem_Forest_NonForest,seasonal_mam,DK
2008,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2009,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2010,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2011,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2012,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2013,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2014,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2015,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2016,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2017,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2018,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2019,0.0,Cem_Forest_NonForest,seasonal_mam,DK
2020,0.0,Cem_Forest_NonForest,seasonal_mam,DK
