year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2003,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2004,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2005,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2006,0.004655486572412595,Cem_Forest_NonForest,seasonal_jja,GB
2007,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2008,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2009,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2010,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2011,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2012,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2013,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2014,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2015,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2016,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2017,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2018,0.0065922237389648974,Cem_Forest_NonForest,seasonal_jja,GB
2019,0.0,Cem_Forest_NonForest,seasonal_jja,GB
2020,0.0,Cem_Forest_NonForest,seasonal_jja,GB
