year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2003,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2004,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2005,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2006,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2007,3.6945549865112304e-05,Cem_Forest_NonForest,seasonal_jja,SN
2008,3.634262723957824e-05,Cem_Forest_NonForest,seasonal_jja,SN
2009,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2010,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2011,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2012,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2013,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2014,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2015,0.0015620537261684417,Cem_Forest_NonForest,seasonal_jja,SN
2016,0.00028880488667099,Cem_Forest_NonForest,seasonal_jja,SN
2017,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2018,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2019,0.0,Cem_Forest_NonForest,seasonal_jja,SN
2020,8.329423027120971e-05,Cem_Forest_NonForest,seasonal_jja,SN
