year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,yearly,EGY
2002,0.001,BA_Forest_NonForest,yearly,EGY
2003,0.015,BA_Forest_NonForest,yearly,EGY
2004,0.0,BA_Forest_NonForest,yearly,EGY
2005,0.022,BA_Forest_NonForest,yearly,EGY
2006,0.08099999999999999,BA_Forest_NonForest,yearly,EGY
2007,0.178,BA_Forest_NonForest,yearly,EGY
2008,0.004,BA_Forest_NonForest,yearly,EGY
2009,0.013999999999999999,BA_Forest_NonForest,yearly,EGY
2010,0.0,BA_Forest_NonForest,yearly,EGY
2011,0.0,BA_Forest_NonForest,yearly,EGY
2012,0.001,BA_Forest_NonForest,yearly,EGY
2013,0.048,BA_Forest_NonForest,yearly,EGY
2014,0.017,BA_Forest_NonForest,yearly,EGY
2015,0.033,BA_Forest_NonForest,yearly,EGY
2016,0.004,BA_Forest_NonForest,yearly,EGY
2017,0.0,BA_Forest_NonForest,yearly,EGY
2018,0.0,BA_Forest_NonForest,yearly,EGY
2019,0.0,BA_Forest_NonForest,yearly,EGY
2020,0.001,BA_Forest_NonForest,yearly,EGY
2021,0.0,BA_Forest_NonForest,yearly,EGY
2022,0.0,BA_Forest_NonForest,yearly,EGY
2023,0.0,BA_Forest_NonForest,yearly,EGY
