year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,yearly_jj,LB
2002,0.0,BA_Forest_NonForest,yearly_jj,LB
2003,0.0,BA_Forest_NonForest,yearly_jj,LB
2004,0.0,BA_Forest_NonForest,yearly_jj,LB
2005,0.0,BA_Forest_NonForest,yearly_jj,LB
2006,0.0,BA_Forest_NonForest,yearly_jj,LB
2007,0.0,BA_Forest_NonForest,yearly_jj,LB
2008,0.0,BA_Forest_NonForest,yearly_jj,LB
2009,0.0,BA_Forest_NonForest,yearly_jj,LB
2010,0.0,BA_Forest_NonForest,yearly_jj,LB
2011,0.0,BA_Forest_NonForest,yearly_jj,LB
2012,0.0,BA_Forest_NonForest,yearly_jj,LB
2013,0.0,BA_Forest_NonForest,yearly_jj,LB
2014,0.0,BA_Forest_NonForest,yearly_jj,LB
2015,0.0,BA_Forest_NonForest,yearly_jj,LB
2016,0.0,BA_Forest_NonForest,yearly_jj,LB
2017,0.0,BA_Forest_NonForest,yearly_jj,LB
2018,0.0,BA_Forest_NonForest,yearly_jj,LB
2019,0.0,BA_Forest_NonForest,yearly_jj,LB
2020,0.0,BA_Forest_NonForest,yearly_jj,LB
2021,0.0,BA_Forest_NonForest,yearly_jj,LB
2022,0.0,BA_Forest_NonForest,yearly_jj,LB
2023,0.0,BA_Forest_NonForest,yearly_jj,LB
