year,sum,variable,timescale,region
2001,24.729000000000003,BA_Forest_NonForest,yearly,AU
2002,86.972,BA_Forest_NonForest,yearly,AU
2003,87.548,BA_Forest_NonForest,yearly,AU
2004,21.923000000000002,BA_Forest_NonForest,yearly,AU
2005,12.919,BA_Forest_NonForest,yearly,AU
2006,67.032,BA_Forest_NonForest,yearly,AU
2007,19.184,BA_Forest_NonForest,yearly,AU
2008,12.406,BA_Forest_NonForest,yearly,AU
2009,35.022000000000006,BA_Forest_NonForest,yearly,AU
2010,4.621,BA_Forest_NonForest,yearly,AU
2011,22.694999999999997,BA_Forest_NonForest,yearly,AU
2012,45.873,BA_Forest_NonForest,yearly,AU
2013,60.59700000000001,BA_Forest_NonForest,yearly,AU
2014,21.934,BA_Forest_NonForest,yearly,AU
2015,30.379999999999995,BA_Forest_NonForest,yearly,AU
2016,22.268,BA_Forest_NonForest,yearly,AU
2017,11.454,BA_Forest_NonForest,yearly,AU
2018,40.342,BA_Forest_NonForest,yearly,AU
2019,167.677,BA_Forest_NonForest,yearly,AU
2020,88.651,BA_Forest_NonForest,yearly,AU
2021,8.178,BA_Forest_NonForest,yearly,AU
2022,8.426,BA_Forest_NonForest,yearly,AU
2023,3.39,BA_Forest_NonForest,yearly,AU
