year,sum,variable,timescale,country
2001,28.687999999999995,BA_Total,seasonal_mam,SEN
2002,21.430999999999997,BA_Total,seasonal_mam,SEN
2003,11.395000000000001,BA_Total,seasonal_mam,SEN
2004,47.005,BA_Total,seasonal_mam,SEN
2005,30.745999999999995,BA_Total,seasonal_mam,SEN
2006,39.044,BA_Total,seasonal_mam,SEN
2007,23.376999999999995,BA_Total,seasonal_mam,SEN
2008,26.205,BA_Total,seasonal_mam,SEN
2009,36.563,BA_Total,seasonal_mam,SEN
2010,30.862000000000005,BA_Total,seasonal_mam,SEN
2011,29.14,BA_Total,seasonal_mam,SEN
2012,22.596,BA_Total,seasonal_mam,SEN
2013,34.647,BA_Total,seasonal_mam,SEN
2014,15.947999999999999,BA_Total,seasonal_mam,SEN
2015,11.579,BA_Total,seasonal_mam,SEN
2016,30.01299999999999,BA_Total,seasonal_mam,SEN
2017,31.587999999999997,BA_Total,seasonal_mam,SEN
2018,23.002000000000002,BA_Total,seasonal_mam,SEN
2019,20.052,BA_Total,seasonal_mam,SEN
2020,16.919,BA_Total,seasonal_mam,SEN
2021,25.483999999999998,BA_Total,seasonal_mam,SEN
2022,26.051000000000002,BA_Total,seasonal_mam,SEN
2023,41.211999999999996,BA_Total,seasonal_mam,SEN
