year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2002,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2003,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2004,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2005,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2006,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2007,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2008,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2009,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2010,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2011,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2012,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2013,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2014,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2015,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2016,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2017,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2018,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2019,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2020,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2021,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2022,0.0,BA_Forest_NonForest,seasonal_djf,DZA
2023,0.0,BA_Forest_NonForest,seasonal_djf,DZA
