year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_djf,PH
2003,0.19079642841657612,Cem_Total,seasonal_djf,PH
2004,0.14735435171198297,Cem_Total,seasonal_djf,PH
2005,0.19141108954555192,Cem_Total,seasonal_djf,PH
2006,0.053093817990543406,Cem_Total,seasonal_djf,PH
2007,0.19132343528857182,Cem_Total,seasonal_djf,PH
2008,0.03184673418073618,Cem_Total,seasonal_djf,PH
2009,0.12765976842053134,Cem_Total,seasonal_djf,PH
2010,0.29479809152058334,Cem_Total,seasonal_djf,PH
2011,0.06942820598483465,Cem_Total,seasonal_djf,PH
2012,0.05508342939352687,Cem_Total,seasonal_djf,PH
2013,0.15140671887563628,Cem_Total,seasonal_djf,PH
2014,0.162133921296938,Cem_Total,seasonal_djf,PH
2015,0.12234183076530579,Cem_Total,seasonal_djf,PH
2016,0.15265973278464523,Cem_Total,seasonal_djf,PH
2017,0.123090937024973,Cem_Total,seasonal_djf,PH
2018,0.10948179311381107,Cem_Total,seasonal_djf,PH
2019,0.18127387200321898,Cem_Total,seasonal_djf,PH
2020,0.13866035517556105,Cem_Total,seasonal_djf,PH
