year,sum,variable,timescale,country
2001,18.376999999999995,BA_Total,seasonal_mam,TCD
2002,47.882999999999996,BA_Total,seasonal_mam,TCD
2003,25.445999999999998,BA_Total,seasonal_mam,TCD
2004,33.241,BA_Total,seasonal_mam,TCD
2005,22.136,BA_Total,seasonal_mam,TCD
2006,26.929999999999993,BA_Total,seasonal_mam,TCD
2007,26.521999999999995,BA_Total,seasonal_mam,TCD
2008,19.155999999999995,BA_Total,seasonal_mam,TCD
2009,18.283999999999995,BA_Total,seasonal_mam,TCD
2010,19.842,BA_Total,seasonal_mam,TCD
2011,51.283,BA_Total,seasonal_mam,TCD
2012,21.459,BA_Total,seasonal_mam,TCD
2013,21.924999999999997,BA_Total,seasonal_mam,TCD
2014,30.491,BA_Total,seasonal_mam,TCD
2015,17.929,BA_Total,seasonal_mam,TCD
2016,11.926,BA_Total,seasonal_mam,TCD
2017,10.752,BA_Total,seasonal_mam,TCD
2018,19.146,BA_Total,seasonal_mam,TCD
2019,21.453,BA_Total,seasonal_mam,TCD
2020,29.706,BA_Total,seasonal_mam,TCD
2021,21.783999999999995,BA_Total,seasonal_mam,TCD
2022,16.698999999999995,BA_Total,seasonal_mam,TCD
2023,20.159999999999997,BA_Total,seasonal_mam,TCD
