year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2003,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2004,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2005,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2006,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2007,0.0001523286173914795,Cem_Forest_NonForest,yearly_jj,CYP
2008,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2009,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2010,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2011,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2012,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2013,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2014,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2015,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2016,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2017,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2018,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2019,0.0,Cem_Forest_NonForest,yearly_jj,CYP
2020,0.0,Cem_Forest_NonForest,yearly_jj,CYP
