year,sum,variable,timescale,region
2001,0.11399999999999999,BA_Total,yearly_jj,SK
2002,0.324,BA_Total,yearly_jj,SK
2003,0.095,BA_Total,yearly_jj,SK
2004,0.053000000000000005,BA_Total,yearly_jj,SK
2005,0.093,BA_Total,yearly_jj,SK
2006,0.027,BA_Total,yearly_jj,SK
2007,0.027000000000000003,BA_Total,yearly_jj,SK
2008,0.041,BA_Total,yearly_jj,SK
2009,0.015000000000000001,BA_Total,yearly_jj,SK
2010,0.013000000000000001,BA_Total,yearly_jj,SK
2011,0.053000000000000005,BA_Total,yearly_jj,SK
2012,0.099,BA_Total,yearly_jj,SK
2013,0.061000000000000006,BA_Total,yearly_jj,SK
2014,0.073,BA_Total,yearly_jj,SK
2015,0.14200000000000002,BA_Total,yearly_jj,SK
2016,0.047,BA_Total,yearly_jj,SK
2017,0.056,BA_Total,yearly_jj,SK
2018,0.01,BA_Total,yearly_jj,SK
2019,0.016,BA_Total,yearly_jj,SK
2020,0.002,BA_Total,yearly_jj,SK
2021,0.015,BA_Total,yearly_jj,SK
2022,0.017,BA_Total,yearly_jj,SK
2023,0.044,BA_Total,yearly_jj,SK
