year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_djf,TR
2002,0.043,BA_Total,seasonal_djf,TR
2003,0.005,BA_Total,seasonal_djf,TR
2004,0.003,BA_Total,seasonal_djf,TR
2005,0.258,BA_Total,seasonal_djf,TR
2006,0.367,BA_Total,seasonal_djf,TR
2007,0.19000000000000006,BA_Total,seasonal_djf,TR
2008,0.14800000000000002,BA_Total,seasonal_djf,TR
2009,0.41500000000000004,BA_Total,seasonal_djf,TR
2010,0.032,BA_Total,seasonal_djf,TR
2011,0.14900000000000002,BA_Total,seasonal_djf,TR
2012,0.45000000000000007,BA_Total,seasonal_djf,TR
2013,0.07800000000000001,BA_Total,seasonal_djf,TR
2014,1.8870000000000002,BA_Total,seasonal_djf,TR
2015,0.123,BA_Total,seasonal_djf,TR
2016,0.984,BA_Total,seasonal_djf,TR
2017,0.456,BA_Total,seasonal_djf,TR
2018,1.353,BA_Total,seasonal_djf,TR
2019,0.269,BA_Total,seasonal_djf,TR
2020,2.4819999999999998,BA_Total,seasonal_djf,TR
2021,0.71,BA_Total,seasonal_djf,TR
2022,1.8549999999999998,BA_Total,seasonal_djf,TR
2023,1.335,BA_Total,seasonal_djf,TR
