year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2003,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2004,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2005,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2006,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2007,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2008,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2009,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2010,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2011,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2012,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2013,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2014,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2015,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2016,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2017,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2018,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2019,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
2020,0.0,Cem_Forest_NonForest,seasonal_jja,TJK
