year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_mam,LBR
2003,0.23631599708605328,Cem_Total,seasonal_mam,LBR
2004,0.11495627749294965,Cem_Total,seasonal_mam,LBR
2005,0.016150961158890687,Cem_Total,seasonal_mam,LBR
2006,0.4518423756968994,Cem_Total,seasonal_mam,LBR
2007,0.12657497504072596,Cem_Total,seasonal_mam,LBR
2008,0.12945308489937124,Cem_Total,seasonal_mam,LBR
2009,2.583419734967149,Cem_Total,seasonal_mam,LBR
2010,0.10868522749610875,Cem_Total,seasonal_mam,LBR
2011,0.05678095530297498,Cem_Total,seasonal_mam,LBR
2012,0.08726445017981607,Cem_Total,seasonal_mam,LBR
2013,0.06866474031774632,Cem_Total,seasonal_mam,LBR
2014,1.084132028993322,Cem_Total,seasonal_mam,LBR
2015,2.217482342265219,Cem_Total,seasonal_mam,LBR
2016,0.10927839664207112,Cem_Total,seasonal_mam,LBR
2017,0.3019312505582779,Cem_Total,seasonal_mam,LBR
2018,0.09051469815935187,Cem_Total,seasonal_mam,LBR
2019,0.9430150841943262,Cem_Total,seasonal_mam,LBR
2020,0.07129188385348861,Cem_Total,seasonal_mam,LBR
