year,sum,variable,timescale,region
2002,0.0,Cem_Total,yearly,AE
2003,0.0,Cem_Total,yearly,AE
2004,0.0,Cem_Total,yearly,AE
2005,0.0,Cem_Total,yearly,AE
2006,0.0,Cem_Total,yearly,AE
2007,0.0,Cem_Total,yearly,AE
2008,0.0,Cem_Total,yearly,AE
2009,0.0,Cem_Total,yearly,AE
2010,0.0,Cem_Total,yearly,AE
2011,0.0,Cem_Total,yearly,AE
2012,0.0,Cem_Total,yearly,AE
2013,0.0,Cem_Total,yearly,AE
2014,0.0,Cem_Total,yearly,AE
2015,0.0,Cem_Total,yearly,AE
2016,0.0,Cem_Total,yearly,AE
2017,0.0,Cem_Total,yearly,AE
2018,0.0,Cem_Total,yearly,AE
2019,0.0,Cem_Total,yearly,AE
2020,0.0,Cem_Total,yearly,AE
