year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_son,JPN
2002,0.0,BA_Forest_NonForest,seasonal_son,JPN
2003,0.0,BA_Forest_NonForest,seasonal_son,JPN
2004,0.0,BA_Forest_NonForest,seasonal_son,JPN
2005,0.0,BA_Forest_NonForest,seasonal_son,JPN
2006,0.0,BA_Forest_NonForest,seasonal_son,JPN
2007,0.0,BA_Forest_NonForest,seasonal_son,JPN
2008,0.0,BA_Forest_NonForest,seasonal_son,JPN
2009,0.0,BA_Forest_NonForest,seasonal_son,JPN
2010,0.0,BA_Forest_NonForest,seasonal_son,JPN
2011,0.0,BA_Forest_NonForest,seasonal_son,JPN
2012,0.0,BA_Forest_NonForest,seasonal_son,JPN
2013,0.0,BA_Forest_NonForest,seasonal_son,JPN
2014,0.0,BA_Forest_NonForest,seasonal_son,JPN
2015,0.0,BA_Forest_NonForest,seasonal_son,JPN
2016,0.0,BA_Forest_NonForest,seasonal_son,JPN
2017,0.0,BA_Forest_NonForest,seasonal_son,JPN
2018,0.0,BA_Forest_NonForest,seasonal_son,JPN
2019,0.0,BA_Forest_NonForest,seasonal_son,JPN
2020,0.0,BA_Forest_NonForest,seasonal_son,JPN
2021,0.0,BA_Forest_NonForest,seasonal_son,JPN
2022,0.0,BA_Forest_NonForest,seasonal_son,JPN
2023,0.0,BA_Forest_NonForest,seasonal_son,JPN
