year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.016,0.05,BA_Forest_NonForest,monthly,NC
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.017,0.036000000000000004,0.0,BA_Forest_NonForest,monthly,NC
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.039999999999999994,BA_Forest_NonForest,monthly,NC
2006,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.016,0.0,BA_Forest_NonForest,monthly,NC
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,BA_Forest_NonForest,monthly,NC
2016,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.04,0.004,0.0,BA_Forest_NonForest,monthly,NC
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,BA_Forest_NonForest,monthly,NC
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.067,0.062,BA_Forest_NonForest,monthly,NC
2020,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Forest_NonForest,monthly,NC
2023,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,BA_Forest_NonForest,monthly,NC
