year,sum,variable,timescale,country
2001,0.044,BA_Forest_NonForest,seasonal_son,KEN
2002,0.027999999999999997,BA_Forest_NonForest,seasonal_son,KEN
2003,0.095,BA_Forest_NonForest,seasonal_son,KEN
2004,0.032,BA_Forest_NonForest,seasonal_son,KEN
2005,0.025,BA_Forest_NonForest,seasonal_son,KEN
2006,0.026000000000000002,BA_Forest_NonForest,seasonal_son,KEN
2007,0.054000000000000006,BA_Forest_NonForest,seasonal_son,KEN
2008,0.05100000000000001,BA_Forest_NonForest,seasonal_son,KEN
2009,0.048,BA_Forest_NonForest,seasonal_son,KEN
2010,0.10700000000000001,BA_Forest_NonForest,seasonal_son,KEN
2011,0.005,BA_Forest_NonForest,seasonal_son,KEN
2012,0.020999999999999998,BA_Forest_NonForest,seasonal_son,KEN
2013,0.07,BA_Forest_NonForest,seasonal_son,KEN
2014,0.013000000000000001,BA_Forest_NonForest,seasonal_son,KEN
2015,0.015000000000000001,BA_Forest_NonForest,seasonal_son,KEN
2016,0.01,BA_Forest_NonForest,seasonal_son,KEN
2017,0.0,BA_Forest_NonForest,seasonal_son,KEN
2018,0.004,BA_Forest_NonForest,seasonal_son,KEN
2019,0.052000000000000005,BA_Forest_NonForest,seasonal_son,KEN
2020,0.307,BA_Forest_NonForest,seasonal_son,KEN
2021,0.084,BA_Forest_NonForest,seasonal_son,KEN
2022,0.069,BA_Forest_NonForest,seasonal_son,KEN
2023,0.0,BA_Forest_NonForest,seasonal_son,KEN
