year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_djf,PY
2002,16.807000000000002,BA_Total,seasonal_djf,PY
2003,6.734,BA_Total,seasonal_djf,PY
2004,14.357,BA_Total,seasonal_djf,PY
2005,19.151,BA_Total,seasonal_djf,PY
2006,20.535,BA_Total,seasonal_djf,PY
2007,5.933000000000001,BA_Total,seasonal_djf,PY
2008,6.683000000000001,BA_Total,seasonal_djf,PY
2009,19.447000000000003,BA_Total,seasonal_djf,PY
2010,12.364,BA_Total,seasonal_djf,PY
2011,6.046000000000001,BA_Total,seasonal_djf,PY
2012,31.296,BA_Total,seasonal_djf,PY
2013,34.656,BA_Total,seasonal_djf,PY
2014,26.144,BA_Total,seasonal_djf,PY
2015,12.052000000000001,BA_Total,seasonal_djf,PY
2016,10.911,BA_Total,seasonal_djf,PY
2017,10.181000000000001,BA_Total,seasonal_djf,PY
2018,4.03,BA_Total,seasonal_djf,PY
2019,18.849000000000004,BA_Total,seasonal_djf,PY
2020,14.620000000000003,BA_Total,seasonal_djf,PY
2021,9.422,BA_Total,seasonal_djf,PY
2022,59.077999999999996,BA_Total,seasonal_djf,PY
2023,16.819000000000003,BA_Total,seasonal_djf,PY
