year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_son,N
2003,0.0,Cem_Total,seasonal_son,N
2004,0.0,Cem_Total,seasonal_son,N
2005,0.0,Cem_Total,seasonal_son,N
2006,0.0007308662261876525,Cem_Total,seasonal_son,N
2007,0.0,Cem_Total,seasonal_son,N
2008,0.0,Cem_Total,seasonal_son,N
2009,0.0,Cem_Total,seasonal_son,N
2010,0.0,Cem_Total,seasonal_son,N
2011,0.0,Cem_Total,seasonal_son,N
2012,0.0,Cem_Total,seasonal_son,N
2013,0.0,Cem_Total,seasonal_son,N
2014,0.0,Cem_Total,seasonal_son,N
2015,0.0,Cem_Total,seasonal_son,N
2016,0.0,Cem_Total,seasonal_son,N
2017,0.0,Cem_Total,seasonal_son,N
2018,0.0,Cem_Total,seasonal_son,N
2019,0.0,Cem_Total,seasonal_son,N
2020,0.0,Cem_Total,seasonal_son,N
