year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_djf,MYS
2002,0.13,BA_Forest_NonForest,seasonal_djf,MYS
2003,0.098,BA_Forest_NonForest,seasonal_djf,MYS
2004,0.04800000000000001,BA_Forest_NonForest,seasonal_djf,MYS
2005,0.30200000000000005,BA_Forest_NonForest,seasonal_djf,MYS
2006,0.0,BA_Forest_NonForest,seasonal_djf,MYS
2007,0.20700000000000002,BA_Forest_NonForest,seasonal_djf,MYS
2008,0.069,BA_Forest_NonForest,seasonal_djf,MYS
2009,0.138,BA_Forest_NonForest,seasonal_djf,MYS
2010,0.38600000000000007,BA_Forest_NonForest,seasonal_djf,MYS
2011,0.01,BA_Forest_NonForest,seasonal_djf,MYS
2012,0.01,BA_Forest_NonForest,seasonal_djf,MYS
2013,0.051,BA_Forest_NonForest,seasonal_djf,MYS
2014,0.151,BA_Forest_NonForest,seasonal_djf,MYS
2015,0.006,BA_Forest_NonForest,seasonal_djf,MYS
2016,0.13,BA_Forest_NonForest,seasonal_djf,MYS
2017,0.0,BA_Forest_NonForest,seasonal_djf,MYS
2018,0.003,BA_Forest_NonForest,seasonal_djf,MYS
2019,0.111,BA_Forest_NonForest,seasonal_djf,MYS
2020,0.020000000000000004,BA_Forest_NonForest,seasonal_djf,MYS
2021,0.015,BA_Forest_NonForest,seasonal_djf,MYS
2022,0.0,BA_Forest_NonForest,seasonal_djf,MYS
2023,0.0,BA_Forest_NonForest,seasonal_djf,MYS
