year,sum,variable,timescale,region
2002,0.00035810230235614013,Cem_Total,seasonal_son,DK
2003,0.0,Cem_Total,seasonal_son,DK
2004,0.007306722853077514,Cem_Total,seasonal_son,DK
2005,0.0,Cem_Total,seasonal_son,DK
2006,0.003299902704234863,Cem_Total,seasonal_son,DK
2007,0.0,Cem_Total,seasonal_son,DK
2008,0.0,Cem_Total,seasonal_son,DK
2009,0.0021645638804419554,Cem_Total,seasonal_son,DK
2010,0.0,Cem_Total,seasonal_son,DK
2011,0.0,Cem_Total,seasonal_son,DK
2012,0.0,Cem_Total,seasonal_son,DK
2013,0.0,Cem_Total,seasonal_son,DK
2014,0.0,Cem_Total,seasonal_son,DK
2015,0.00018703264784906008,Cem_Total,seasonal_son,DK
2016,0.0,Cem_Total,seasonal_son,DK
2017,0.0,Cem_Total,seasonal_son,DK
2018,0.0,Cem_Total,seasonal_son,DK
2019,0.0,Cem_Total,seasonal_son,DK
2020,0.0,Cem_Total,seasonal_son,DK
