year,sum,variable,timescale,region
2001,343.293,BA_Total,yearly,AR
2002,236.77399999999997,BA_Total,yearly,AR
2003,308.81399999999996,BA_Total,yearly,AR
2004,222.27199999999996,BA_Total,yearly,AR
2005,162.50099999999998,BA_Total,yearly,AR
2006,174.589,BA_Total,yearly,AR
2007,176.19099999999997,BA_Total,yearly,AR
2008,234.94699999999995,BA_Total,yearly,AR
2009,154.08399999999997,BA_Total,yearly,AR
2010,119.92999999999998,BA_Total,yearly,AR
2011,155.08399999999997,BA_Total,yearly,AR
2012,136.77499999999998,BA_Total,yearly,AR
2013,133.41799999999995,BA_Total,yearly,AR
2014,106.115,BA_Total,yearly,AR
2015,109.12899999999999,BA_Total,yearly,AR
2016,157.95499999999998,BA_Total,yearly,AR
2017,244.72299999999998,BA_Total,yearly,AR
2018,155.22899999999998,BA_Total,yearly,AR
2019,101.325,BA_Total,yearly,AR
2020,274.902,BA_Total,yearly,AR
2021,114.258,BA_Total,yearly,AR
2022,207.60999999999999,BA_Total,yearly,AR
2023,38.257,BA_Total,yearly,AR
