year,sum,variable,timescale,country
2002,0.0010155335877017366,Cem_Forest_NonForest,yearly_jj,MWI
2003,1.2237911316514662,Cem_Forest_NonForest,yearly_jj,MWI
2004,1.5997037483366623,Cem_Forest_NonForest,yearly_jj,MWI
2005,0.7892690818343095,Cem_Forest_NonForest,yearly_jj,MWI
2006,1.319360729353081,Cem_Forest_NonForest,yearly_jj,MWI
2007,0.6374688693957785,Cem_Forest_NonForest,yearly_jj,MWI
2008,1.0822123048987804,Cem_Forest_NonForest,yearly_jj,MWI
2009,1.0546577045434453,Cem_Forest_NonForest,yearly_jj,MWI
2010,0.5743341913946474,Cem_Forest_NonForest,yearly_jj,MWI
2011,1.8385264399284542,Cem_Forest_NonForest,yearly_jj,MWI
2012,0.6170268084914339,Cem_Forest_NonForest,yearly_jj,MWI
2013,1.3293429512519654,Cem_Forest_NonForest,yearly_jj,MWI
2014,1.042828767712513,Cem_Forest_NonForest,yearly_jj,MWI
2015,0.7077971170709698,Cem_Forest_NonForest,yearly_jj,MWI
2016,0.9989803875099571,Cem_Forest_NonForest,yearly_jj,MWI
2017,1.6375566228745497,Cem_Forest_NonForest,yearly_jj,MWI
2018,0.5751251059922842,Cem_Forest_NonForest,yearly_jj,MWI
2019,1.0255341356633343,Cem_Forest_NonForest,yearly_jj,MWI
2020,0.669932567582938,Cem_Forest_NonForest,yearly_jj,MWI
