year,sum,variable,timescale,country
2001,766.3230000000001,BA_Total,yearly_jj,COD
2002,1225.2140000000002,BA_Total,yearly_jj,COD
2003,1592.929,BA_Total,yearly_jj,COD
2004,1804.8949999999998,BA_Total,yearly_jj,COD
2005,1588.741,BA_Total,yearly_jj,COD
2006,1731.583,BA_Total,yearly_jj,COD
2007,1546.8749999999998,BA_Total,yearly_jj,COD
2008,1671.711,BA_Total,yearly_jj,COD
2009,1456.478,BA_Total,yearly_jj,COD
2010,1696.6719999999998,BA_Total,yearly_jj,COD
2011,1593.7930000000001,BA_Total,yearly_jj,COD
2012,1636.571,BA_Total,yearly_jj,COD
2013,1544.9910000000002,BA_Total,yearly_jj,COD
2014,1479.8069999999998,BA_Total,yearly_jj,COD
2015,1390.348,BA_Total,yearly_jj,COD
2016,1741.592,BA_Total,yearly_jj,COD
2017,1632.2250000000001,BA_Total,yearly_jj,COD
2018,1339.569,BA_Total,yearly_jj,COD
2019,1659.5410000000002,BA_Total,yearly_jj,COD
2020,1438.0919999999996,BA_Total,yearly_jj,COD
2021,1600.3289999999997,BA_Total,yearly_jj,COD
2022,1514.138,BA_Total,yearly_jj,COD
2023,1389.23,BA_Total,yearly_jj,COD
