year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_djf,BRA
2002,14.715999999999998,BA_Total,seasonal_djf,BRA
2003,38.824,BA_Total,seasonal_djf,BRA
2004,42.974999999999994,BA_Total,seasonal_djf,BRA
2005,52.433999999999976,BA_Total,seasonal_djf,BRA
2006,23.802000000000003,BA_Total,seasonal_djf,BRA
2007,43.92,BA_Total,seasonal_djf,BRA
2008,24.466000000000008,BA_Total,seasonal_djf,BRA
2009,40.908000000000015,BA_Total,seasonal_djf,BRA
2010,53.480999999999995,BA_Total,seasonal_djf,BRA
2011,30.848,BA_Total,seasonal_djf,BRA
2012,56.88799999999999,BA_Total,seasonal_djf,BRA
2013,43.486999999999995,BA_Total,seasonal_djf,BRA
2014,28.692999999999998,BA_Total,seasonal_djf,BRA
2015,46.791999999999994,BA_Total,seasonal_djf,BRA
2016,111.027,BA_Total,seasonal_djf,BRA
2017,30.165,BA_Total,seasonal_djf,BRA
2018,53.812999999999995,BA_Total,seasonal_djf,BRA
2019,60.547,BA_Total,seasonal_djf,BRA
2020,59.06,BA_Total,seasonal_djf,BRA
2021,29.926000000000002,BA_Total,seasonal_djf,BRA
2022,39.049,BA_Total,seasonal_djf,BRA
2023,34.749,BA_Total,seasonal_djf,BRA
