year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2012,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,BA_Total,monthly,YE
2014,0.0,0.002,0.0,0.0,0.002,0.004,0.0,0.003,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2015,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.002,0.004,0.0,0.0,0.0,BA_Total,monthly,YE
2016,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,BA_Total,monthly,YE
2017,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,BA_Total,monthly,YE
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2019,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,BA_Total,monthly,YE
2021,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,BA_Total,monthly,YE
2022,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,YE
2023,0.001,0.0,0.0,0.0,0.002,0.0,,,,,,,BA_Total,monthly,YE
