year,sum,variable,timescale,country
2002,0.23516344153033686,Cem_Forest_NonForest,seasonal_mam,IDN
2003,0.21019873973904174,Cem_Forest_NonForest,seasonal_mam,IDN
2004,0.1093563651441341,Cem_Forest_NonForest,seasonal_mam,IDN
2005,0.6701263186358282,Cem_Forest_NonForest,seasonal_mam,IDN
2006,0.03906750879488384,Cem_Forest_NonForest,seasonal_mam,IDN
2007,0.02594664929190222,Cem_Forest_NonForest,seasonal_mam,IDN
2008,0.14454724248463405,Cem_Forest_NonForest,seasonal_mam,IDN
2009,0.043655872136023496,Cem_Forest_NonForest,seasonal_mam,IDN
2010,0.025274468051419675,Cem_Forest_NonForest,seasonal_mam,IDN
2011,0.09990742755969972,Cem_Forest_NonForest,seasonal_mam,IDN
2012,0.02325753053700408,Cem_Forest_NonForest,seasonal_mam,IDN
2013,0.031509324628203855,Cem_Forest_NonForest,seasonal_mam,IDN
2014,1.275901248429553,Cem_Forest_NonForest,seasonal_mam,IDN
2015,0.052235229166313187,Cem_Forest_NonForest,seasonal_mam,IDN
2016,0.09371630200295891,Cem_Forest_NonForest,seasonal_mam,IDN
2017,0.0,Cem_Forest_NonForest,seasonal_mam,IDN
2018,0.017608939824805908,Cem_Forest_NonForest,seasonal_mam,IDN
2019,0.14241324457877116,Cem_Forest_NonForest,seasonal_mam,IDN
2020,0.08808601455207198,Cem_Forest_NonForest,seasonal_mam,IDN
