year,sum,variable,timescale,country
2001,6.241,BA_Total,yearly_jj,MNG
2002,12.337,BA_Total,yearly_jj,MNG
2003,99.118,BA_Total,yearly_jj,MNG
2004,63.160000000000004,BA_Total,yearly_jj,MNG
2005,10.522,BA_Total,yearly_jj,MNG
2006,85.974,BA_Total,yearly_jj,MNG
2007,68.32799999999999,BA_Total,yearly_jj,MNG
2008,51.469,BA_Total,yearly_jj,MNG
2009,16.951999999999998,BA_Total,yearly_jj,MNG
2010,8.561,BA_Total,yearly_jj,MNG
2011,71.375,BA_Total,yearly_jj,MNG
2012,85.14,BA_Total,yearly_jj,MNG
2013,42.312000000000005,BA_Total,yearly_jj,MNG
2014,38.396,BA_Total,yearly_jj,MNG
2015,96.125,BA_Total,yearly_jj,MNG
2016,31.977,BA_Total,yearly_jj,MNG
2017,37.296,BA_Total,yearly_jj,MNG
2018,7.662999999999999,BA_Total,yearly_jj,MNG
2019,12.665,BA_Total,yearly_jj,MNG
2020,2.839,BA_Total,yearly_jj,MNG
2021,1.5899999999999999,BA_Total,yearly_jj,MNG
2022,14.917,BA_Total,yearly_jj,MNG
2023,84.64899999999999,BA_Total,yearly_jj,MNG
