year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_djf,KG
2003,0.0,Cem_Total,seasonal_djf,KG
2004,0.000549182787501831,Cem_Total,seasonal_djf,KG
2005,0.0019425671959849245,Cem_Total,seasonal_djf,KG
2006,0.007126945440884347,Cem_Total,seasonal_djf,KG
2007,6.961772292982483e-05,Cem_Total,seasonal_djf,KG
2008,0.0,Cem_Total,seasonal_djf,KG
2009,0.00021021363801818847,Cem_Total,seasonal_djf,KG
2010,0.0,Cem_Total,seasonal_djf,KG
2011,0.0,Cem_Total,seasonal_djf,KG
2012,0.0,Cem_Total,seasonal_djf,KG
2013,0.0,Cem_Total,seasonal_djf,KG
2014,2.6739364775505065e-05,Cem_Total,seasonal_djf,KG
2015,0.0,Cem_Total,seasonal_djf,KG
2016,0.003094394376795167,Cem_Total,seasonal_djf,KG
2017,0.0,Cem_Total,seasonal_djf,KG
2018,0.0,Cem_Total,seasonal_djf,KG
2019,0.0036284134491210325,Cem_Total,seasonal_djf,KG
2020,0.0,Cem_Total,seasonal_djf,KG
