year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2003,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2004,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2005,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2006,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2007,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2008,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2009,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2010,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2011,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2012,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2013,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2014,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2015,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2016,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2017,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2018,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2019,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
2020,0.0,Cem_Forest_NonForest,seasonal_jja,DJ
