year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2003,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2004,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2005,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2006,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2007,5.71391253659668e-05,Cem_Forest_NonForest,seasonal_jja,FJI
2008,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2009,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2010,0.003374091904313691,Cem_Forest_NonForest,seasonal_jja,FJI
2011,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2012,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2013,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2014,0.0007714603275356139,Cem_Forest_NonForest,seasonal_jja,FJI
2015,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2016,0.0009964809507736817,Cem_Forest_NonForest,seasonal_jja,FJI
2017,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2018,0.006266752020399629,Cem_Forest_NonForest,seasonal_jja,FJI
2019,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
2020,0.0,Cem_Forest_NonForest,seasonal_jja,FJI
