year,sum,variable,timescale,country
2001,23.834,BA_Forest_NonForest,yearly,BOL
2002,62.764999999999986,BA_Forest_NonForest,yearly,BOL
2003,23.595999999999997,BA_Forest_NonForest,yearly,BOL
2004,119.96300000000002,BA_Forest_NonForest,yearly,BOL
2005,53.448,BA_Forest_NonForest,yearly,BOL
2006,63.712999999999994,BA_Forest_NonForest,yearly,BOL
2007,119.30699999999999,BA_Forest_NonForest,yearly,BOL
2008,38.034,BA_Forest_NonForest,yearly,BOL
2009,15.820999999999998,BA_Forest_NonForest,yearly,BOL
2010,160.03199999999998,BA_Forest_NonForest,yearly,BOL
2011,47.13699999999999,BA_Forest_NonForest,yearly,BOL
2012,32.851,BA_Forest_NonForest,yearly,BOL
2013,11.851,BA_Forest_NonForest,yearly,BOL
2014,6.5200000000000005,BA_Forest_NonForest,yearly,BOL
2015,20.936999999999998,BA_Forest_NonForest,yearly,BOL
2016,33.144999999999996,BA_Forest_NonForest,yearly,BOL
2017,20.298,BA_Forest_NonForest,yearly,BOL
2018,17.281999999999996,BA_Forest_NonForest,yearly,BOL
2019,121.32,BA_Forest_NonForest,yearly,BOL
2020,68.49399999999999,BA_Forest_NonForest,yearly,BOL
2021,81.20299999999999,BA_Forest_NonForest,yearly,BOL
2022,64.228,BA_Forest_NonForest,yearly,BOL
2023,1.153,BA_Forest_NonForest,yearly,BOL
