year,sum,variable,timescale,country
2001,17.928000000000004,BA_Total,seasonal_son,ETH
2002,86.326,BA_Total,seasonal_son,ETH
2003,48.272000000000006,BA_Total,seasonal_son,ETH
2004,50.376,BA_Total,seasonal_son,ETH
2005,52.636,BA_Total,seasonal_son,ETH
2006,24.935999999999993,BA_Total,seasonal_son,ETH
2007,38.486999999999995,BA_Total,seasonal_son,ETH
2008,36.116,BA_Total,seasonal_son,ETH
2009,88.53299999999999,BA_Total,seasonal_son,ETH
2010,46.06899999999999,BA_Total,seasonal_son,ETH
2011,32.47800000000001,BA_Total,seasonal_son,ETH
2012,22.371000000000002,BA_Total,seasonal_son,ETH
2013,21.113999999999997,BA_Total,seasonal_son,ETH
2014,13.217999999999998,BA_Total,seasonal_son,ETH
2015,52.604,BA_Total,seasonal_son,ETH
2016,65.24399999999999,BA_Total,seasonal_son,ETH
2017,24.691999999999997,BA_Total,seasonal_son,ETH
2018,40.343,BA_Total,seasonal_son,ETH
2019,13.802,BA_Total,seasonal_son,ETH
2020,28.788000000000004,BA_Total,seasonal_son,ETH
2021,34.027,BA_Total,seasonal_son,ETH
2022,9.828999999999999,BA_Total,seasonal_son,ETH
2023,0.0,BA_Total,seasonal_son,ETH
