year,sum,variable,timescale,region
2002,0.0002247646404316406,Cem_Forest_NonForest,yearly,DK
2003,0.0015800890851078795,Cem_Forest_NonForest,yearly,DK
2004,0.0011257512572768098,Cem_Forest_NonForest,yearly,DK
2005,0.0,Cem_Forest_NonForest,yearly,DK
2006,0.000523721104293213,Cem_Forest_NonForest,yearly,DK
2007,0.000505579015524353,Cem_Forest_NonForest,yearly,DK
2008,0.00028327240928369146,Cem_Forest_NonForest,yearly,DK
2009,0.0,Cem_Forest_NonForest,yearly,DK
2010,0.0,Cem_Forest_NonForest,yearly,DK
2011,0.0,Cem_Forest_NonForest,yearly,DK
2012,0.00023356643478759766,Cem_Forest_NonForest,yearly,DK
2013,0.0,Cem_Forest_NonForest,yearly,DK
2014,0.0,Cem_Forest_NonForest,yearly,DK
2015,0.0009638435322045899,Cem_Forest_NonForest,yearly,DK
2016,0.0,Cem_Forest_NonForest,yearly,DK
2017,0.0,Cem_Forest_NonForest,yearly,DK
2018,0.0,Cem_Forest_NonForest,yearly,DK
2019,0.0,Cem_Forest_NonForest,yearly,DK
2020,0.0,Cem_Forest_NonForest,yearly,DK
