year,sum,variable,timescale,country
2002,0.002185427450656128,Cem_Forest_NonForest,seasonal_mam,KAZ
2003,0.013031984263327676,Cem_Forest_NonForest,seasonal_mam,KAZ
2004,0.011228146414148404,Cem_Forest_NonForest,seasonal_mam,KAZ
2005,0.0027719878918937525,Cem_Forest_NonForest,seasonal_mam,KAZ
2006,0.001726019581396713,Cem_Forest_NonForest,seasonal_mam,KAZ
2007,0.004024545186935073,Cem_Forest_NonForest,seasonal_mam,KAZ
2008,0.0187725673217683,Cem_Forest_NonForest,seasonal_mam,KAZ
2009,0.013027567061793609,Cem_Forest_NonForest,seasonal_mam,KAZ
2010,0.001611845168920166,Cem_Forest_NonForest,seasonal_mam,KAZ
2011,0.003403709256979187,Cem_Forest_NonForest,seasonal_mam,KAZ
2012,0.004992724084876205,Cem_Forest_NonForest,seasonal_mam,KAZ
2013,0.023487542212470607,Cem_Forest_NonForest,seasonal_mam,KAZ
2014,0.005092531206385398,Cem_Forest_NonForest,seasonal_mam,KAZ
2015,0.06362034788094217,Cem_Forest_NonForest,seasonal_mam,KAZ
2016,0.010504472018332586,Cem_Forest_NonForest,seasonal_mam,KAZ
2017,0.0028591690502356333,Cem_Forest_NonForest,seasonal_mam,KAZ
2018,0.01159126573320336,Cem_Forest_NonForest,seasonal_mam,KAZ
2019,0.0047898885204387355,Cem_Forest_NonForest,seasonal_mam,KAZ
2020,0.0066423487152957005,Cem_Forest_NonForest,seasonal_mam,KAZ
