year,sum,variable,timescale,region
2002,0.012287363023072916,Cem_Total,seasonal_son,CL
2003,0.010463451436800214,Cem_Total,seasonal_son,CL
2004,0.0013405075834553339,Cem_Total,seasonal_son,CL
2005,0.03664236834464778,Cem_Total,seasonal_son,CL
2006,0.0008226927407409438,Cem_Total,seasonal_son,CL
2007,0.005483081473604103,Cem_Total,seasonal_son,CL
2008,0.02921729274234593,Cem_Total,seasonal_son,CL
2009,0.010618843294174129,Cem_Total,seasonal_son,CL
2010,0.011798663273319607,Cem_Total,seasonal_son,CL
2011,0.0032594546993379514,Cem_Total,seasonal_son,CL
2012,0.006039030632666649,Cem_Total,seasonal_son,CL
2013,0.003544670741931816,Cem_Total,seasonal_son,CL
2014,0.002800890082903423,Cem_Total,seasonal_son,CL
2015,0.00037106023392359923,Cem_Total,seasonal_son,CL
2016,0.06845521127828053,Cem_Total,seasonal_son,CL
2017,0.0026591753216529354,Cem_Total,seasonal_son,CL
2018,0.004990678113069352,Cem_Total,seasonal_son,CL
2019,0.1300796490935078,Cem_Total,seasonal_son,CL
2020,0.007883025243251776,Cem_Total,seasonal_son,CL
