year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2003,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2004,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2005,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2006,0.004191986004344728,Cem_Forest_NonForest,seasonal_son,SWE
2007,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2008,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2009,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2010,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2011,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2012,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2013,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2014,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2015,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2016,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2017,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2018,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2019,0.0,Cem_Forest_NonForest,seasonal_son,SWE
2020,0.0,Cem_Forest_NonForest,seasonal_son,SWE
