year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_mam,ME
2002,0.0,BA_Forest_NonForest,seasonal_mam,ME
2003,0.0,BA_Forest_NonForest,seasonal_mam,ME
2004,0.0,BA_Forest_NonForest,seasonal_mam,ME
2005,0.0,BA_Forest_NonForest,seasonal_mam,ME
2006,0.008,BA_Forest_NonForest,seasonal_mam,ME
2007,0.004,BA_Forest_NonForest,seasonal_mam,ME
2008,0.0,BA_Forest_NonForest,seasonal_mam,ME
2009,0.0,BA_Forest_NonForest,seasonal_mam,ME
2010,0.0,BA_Forest_NonForest,seasonal_mam,ME
2011,0.0,BA_Forest_NonForest,seasonal_mam,ME
2012,0.001,BA_Forest_NonForest,seasonal_mam,ME
2013,0.001,BA_Forest_NonForest,seasonal_mam,ME
2014,0.008,BA_Forest_NonForest,seasonal_mam,ME
2015,0.0,BA_Forest_NonForest,seasonal_mam,ME
2016,0.0,BA_Forest_NonForest,seasonal_mam,ME
2017,0.004,BA_Forest_NonForest,seasonal_mam,ME
2018,0.0,BA_Forest_NonForest,seasonal_mam,ME
2019,0.016,BA_Forest_NonForest,seasonal_mam,ME
2020,0.028,BA_Forest_NonForest,seasonal_mam,ME
2021,0.0,BA_Forest_NonForest,seasonal_mam,ME
2022,0.063,BA_Forest_NonForest,seasonal_mam,ME
2023,0.0,BA_Forest_NonForest,seasonal_mam,ME
