year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_son,NL
2003,0.0,Cem_Forest_NonForest,seasonal_son,NL
2004,0.0,Cem_Forest_NonForest,seasonal_son,NL
2005,0.0,Cem_Forest_NonForest,seasonal_son,NL
2006,0.0,Cem_Forest_NonForest,seasonal_son,NL
2007,0.0,Cem_Forest_NonForest,seasonal_son,NL
2008,0.0,Cem_Forest_NonForest,seasonal_son,NL
2009,0.0,Cem_Forest_NonForest,seasonal_son,NL
2010,0.0,Cem_Forest_NonForest,seasonal_son,NL
2011,0.0,Cem_Forest_NonForest,seasonal_son,NL
2012,0.0,Cem_Forest_NonForest,seasonal_son,NL
2013,0.0,Cem_Forest_NonForest,seasonal_son,NL
2014,0.0,Cem_Forest_NonForest,seasonal_son,NL
2015,0.0,Cem_Forest_NonForest,seasonal_son,NL
2016,0.0,Cem_Forest_NonForest,seasonal_son,NL
2017,0.0,Cem_Forest_NonForest,seasonal_son,NL
2018,0.0,Cem_Forest_NonForest,seasonal_son,NL
2019,0.0,Cem_Forest_NonForest,seasonal_son,NL
2020,0.0,Cem_Forest_NonForest,seasonal_son,NL
