year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_djf,SWE
2003,0.0,Cem_Total,seasonal_djf,SWE
2004,0.0,Cem_Total,seasonal_djf,SWE
2005,0.0,Cem_Total,seasonal_djf,SWE
2006,0.0,Cem_Total,seasonal_djf,SWE
2007,0.0,Cem_Total,seasonal_djf,SWE
2008,0.0,Cem_Total,seasonal_djf,SWE
2009,0.0,Cem_Total,seasonal_djf,SWE
2010,0.0,Cem_Total,seasonal_djf,SWE
2011,0.0,Cem_Total,seasonal_djf,SWE
2012,0.0,Cem_Total,seasonal_djf,SWE
2013,0.0,Cem_Total,seasonal_djf,SWE
2014,0.0,Cem_Total,seasonal_djf,SWE
2015,0.0,Cem_Total,seasonal_djf,SWE
2016,0.0,Cem_Total,seasonal_djf,SWE
2017,0.0,Cem_Total,seasonal_djf,SWE
2018,0.0,Cem_Total,seasonal_djf,SWE
2019,0.0,Cem_Total,seasonal_djf,SWE
2020,0.0,Cem_Total,seasonal_djf,SWE
