year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2003,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2004,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2005,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2006,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2007,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2008,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2009,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2010,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2011,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2012,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2013,4.722377080223084e-05,Cem_Forest_NonForest,seasonal_son,AFG
2014,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2015,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2016,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2017,0.00016902601166030883,Cem_Forest_NonForest,seasonal_son,AFG
2018,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2019,0.0,Cem_Forest_NonForest,seasonal_son,AFG
2020,0.0,Cem_Forest_NonForest,seasonal_son,AFG
