year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2002,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2003,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2004,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2005,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2006,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2007,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2008,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2009,0.001,BA_Forest_NonForest,seasonal_djf,BDI
2010,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2011,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2012,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2013,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2014,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2015,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2016,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2017,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2018,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2019,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2020,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2021,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2022,0.0,BA_Forest_NonForest,seasonal_djf,BDI
2023,0.0,BA_Forest_NonForest,seasonal_djf,BDI
