year,sum,variable,timescale,region
2001,11.943999999999999,BA_Forest_NonForest,yearly_jj,KH
2002,53.834999999999994,BA_Forest_NonForest,yearly_jj,KH
2003,31.78599999999999,BA_Forest_NonForest,yearly_jj,KH
2004,13.13,BA_Forest_NonForest,yearly_jj,KH
2005,42.223,BA_Forest_NonForest,yearly_jj,KH
2006,28.813,BA_Forest_NonForest,yearly_jj,KH
2007,55.533,BA_Forest_NonForest,yearly_jj,KH
2008,39.67399999999999,BA_Forest_NonForest,yearly_jj,KH
2009,59.753,BA_Forest_NonForest,yearly_jj,KH
2010,16.185000000000002,BA_Forest_NonForest,yearly_jj,KH
2011,24.904,BA_Forest_NonForest,yearly_jj,KH
2012,24.278999999999996,BA_Forest_NonForest,yearly_jj,KH
2013,37.768,BA_Forest_NonForest,yearly_jj,KH
2014,32.79699999999999,BA_Forest_NonForest,yearly_jj,KH
2015,45.696999999999996,BA_Forest_NonForest,yearly_jj,KH
2016,26.949999999999996,BA_Forest_NonForest,yearly_jj,KH
2017,31.665999999999997,BA_Forest_NonForest,yearly_jj,KH
2018,11.943000000000001,BA_Forest_NonForest,yearly_jj,KH
2019,19.645999999999997,BA_Forest_NonForest,yearly_jj,KH
2020,17.842,BA_Forest_NonForest,yearly_jj,KH
2021,13.161,BA_Forest_NonForest,yearly_jj,KH
2022,7.406999999999999,BA_Forest_NonForest,yearly_jj,KH
2023,13.143999999999998,BA_Forest_NonForest,yearly_jj,KH
