year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_djf,CYP
2002,0.0,BA_Total,seasonal_djf,CYP
2003,0.0,BA_Total,seasonal_djf,CYP
2004,0.0,BA_Total,seasonal_djf,CYP
2005,0.0,BA_Total,seasonal_djf,CYP
2006,0.0,BA_Total,seasonal_djf,CYP
2007,0.0,BA_Total,seasonal_djf,CYP
2008,0.0,BA_Total,seasonal_djf,CYP
2009,0.0,BA_Total,seasonal_djf,CYP
2010,0.0,BA_Total,seasonal_djf,CYP
2011,0.0,BA_Total,seasonal_djf,CYP
2012,0.0,BA_Total,seasonal_djf,CYP
2013,0.0,BA_Total,seasonal_djf,CYP
2014,0.0,BA_Total,seasonal_djf,CYP
2015,0.0,BA_Total,seasonal_djf,CYP
2016,0.0,BA_Total,seasonal_djf,CYP
2017,0.0,BA_Total,seasonal_djf,CYP
2018,0.0,BA_Total,seasonal_djf,CYP
2019,0.0,BA_Total,seasonal_djf,CYP
2020,0.0,BA_Total,seasonal_djf,CYP
2021,0.0,BA_Total,seasonal_djf,CYP
2022,0.0,BA_Total,seasonal_djf,CYP
2023,0.0,BA_Total,seasonal_djf,CYP
