year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,PL
2002,0.0,BA_Forest_NonForest,seasonal_djf,PL
2003,0.0,BA_Forest_NonForest,seasonal_djf,PL
2004,0.0,BA_Forest_NonForest,seasonal_djf,PL
2005,0.0,BA_Forest_NonForest,seasonal_djf,PL
2006,0.0,BA_Forest_NonForest,seasonal_djf,PL
2007,0.0,BA_Forest_NonForest,seasonal_djf,PL
2008,0.0,BA_Forest_NonForest,seasonal_djf,PL
2009,0.0,BA_Forest_NonForest,seasonal_djf,PL
2010,0.0,BA_Forest_NonForest,seasonal_djf,PL
2011,0.0,BA_Forest_NonForest,seasonal_djf,PL
2012,0.049,BA_Forest_NonForest,seasonal_djf,PL
2013,0.0,BA_Forest_NonForest,seasonal_djf,PL
2014,0.0,BA_Forest_NonForest,seasonal_djf,PL
2015,0.005,BA_Forest_NonForest,seasonal_djf,PL
2016,0.0,BA_Forest_NonForest,seasonal_djf,PL
2017,0.008,BA_Forest_NonForest,seasonal_djf,PL
2018,0.0,BA_Forest_NonForest,seasonal_djf,PL
2019,0.001,BA_Forest_NonForest,seasonal_djf,PL
2020,0.0,BA_Forest_NonForest,seasonal_djf,PL
2021,0.0,BA_Forest_NonForest,seasonal_djf,PL
2022,0.001,BA_Forest_NonForest,seasonal_djf,PL
2023,0.0,BA_Forest_NonForest,seasonal_djf,PL
