year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_djf,MDG
2002,4.535,BA_Total,seasonal_djf,MDG
2003,0.099,BA_Total,seasonal_djf,MDG
2004,2.2760000000000007,BA_Total,seasonal_djf,MDG
2005,3.754,BA_Total,seasonal_djf,MDG
2006,5.765000000000001,BA_Total,seasonal_djf,MDG
2007,0.401,BA_Total,seasonal_djf,MDG
2008,8.499,BA_Total,seasonal_djf,MDG
2009,2.4019999999999997,BA_Total,seasonal_djf,MDG
2010,0.9790000000000001,BA_Total,seasonal_djf,MDG
2011,5.639,BA_Total,seasonal_djf,MDG
2012,5.088000000000001,BA_Total,seasonal_djf,MDG
2013,3.2859999999999996,BA_Total,seasonal_djf,MDG
2014,1.1219999999999999,BA_Total,seasonal_djf,MDG
2015,0.5660000000000001,BA_Total,seasonal_djf,MDG
2016,0.9110000000000001,BA_Total,seasonal_djf,MDG
2017,6.1850000000000005,BA_Total,seasonal_djf,MDG
2018,0.11499999999999999,BA_Total,seasonal_djf,MDG
2019,2.691,BA_Total,seasonal_djf,MDG
2020,0.5730000000000001,BA_Total,seasonal_djf,MDG
2021,3.6419999999999995,BA_Total,seasonal_djf,MDG
2022,6.042000000000001,BA_Total,seasonal_djf,MDG
2023,1.005,BA_Total,seasonal_djf,MDG
