year,sum,variable,timescale,country
2001,6.316000000000001,BA_Total,yearly,ITA
2002,3.583,BA_Total,yearly,ITA
2003,6.878,BA_Total,yearly,ITA
2004,7.473,BA_Total,yearly,ITA
2005,2.5970000000000004,BA_Total,yearly,ITA
2006,2.187,BA_Total,yearly,ITA
2007,9.825000000000001,BA_Total,yearly,ITA
2008,5.83,BA_Total,yearly,ITA
2009,2.25,BA_Total,yearly,ITA
2010,3.2770000000000006,BA_Total,yearly,ITA
2011,3.896000000000001,BA_Total,yearly,ITA
2012,6.526000000000001,BA_Total,yearly,ITA
2013,1.6300000000000001,BA_Total,yearly,ITA
2014,4.689,BA_Total,yearly,ITA
2015,0.7850000000000001,BA_Total,yearly,ITA
2016,2.34,BA_Total,yearly,ITA
2017,5.0360000000000005,BA_Total,yearly,ITA
2018,0.76,BA_Total,yearly,ITA
2019,3.1659999999999995,BA_Total,yearly,ITA
2020,1.5090000000000001,BA_Total,yearly,ITA
2021,9.147,BA_Total,yearly,ITA
2022,1.7910000000000001,BA_Total,yearly,ITA
2023,0.131,BA_Total,yearly,ITA
