year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,yearly_jj,CH
2002,0.013000000000000001,BA_Forest_NonForest,yearly_jj,CH
2003,0.0,BA_Forest_NonForest,yearly_jj,CH
2004,0.01,BA_Forest_NonForest,yearly_jj,CH
2005,0.0,BA_Forest_NonForest,yearly_jj,CH
2006,0.0,BA_Forest_NonForest,yearly_jj,CH
2007,0.0,BA_Forest_NonForest,yearly_jj,CH
2008,0.004,BA_Forest_NonForest,yearly_jj,CH
2009,0.0,BA_Forest_NonForest,yearly_jj,CH
2010,0.008,BA_Forest_NonForest,yearly_jj,CH
2011,0.0,BA_Forest_NonForest,yearly_jj,CH
2012,0.0,BA_Forest_NonForest,yearly_jj,CH
2013,0.0,BA_Forest_NonForest,yearly_jj,CH
2014,0.004,BA_Forest_NonForest,yearly_jj,CH
2015,0.02,BA_Forest_NonForest,yearly_jj,CH
2016,0.0,BA_Forest_NonForest,yearly_jj,CH
2017,0.007,BA_Forest_NonForest,yearly_jj,CH
2018,0.001,BA_Forest_NonForest,yearly_jj,CH
2019,0.001,BA_Forest_NonForest,yearly_jj,CH
2020,0.0,BA_Forest_NonForest,yearly_jj,CH
2021,0.0,BA_Forest_NonForest,yearly_jj,CH
2022,0.0,BA_Forest_NonForest,yearly_jj,CH
2023,0.001,BA_Forest_NonForest,yearly_jj,CH
