year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2002,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2003,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2004,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2005,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2006,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2007,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2008,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2009,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2010,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2011,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2012,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2013,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2014,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2015,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2016,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2017,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2018,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2019,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2020,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2021,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2022,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
2023,0.0,BA_Forest_NonForest,seasonal_djf,KGZ
