year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_jja,GH
2002,0.0,BA_Forest_NonForest,seasonal_jja,GH
2003,0.0,BA_Forest_NonForest,seasonal_jja,GH
2004,0.0,BA_Forest_NonForest,seasonal_jja,GH
2005,0.0,BA_Forest_NonForest,seasonal_jja,GH
2006,0.0,BA_Forest_NonForest,seasonal_jja,GH
2007,0.0,BA_Forest_NonForest,seasonal_jja,GH
2008,0.0,BA_Forest_NonForest,seasonal_jja,GH
2009,0.0,BA_Forest_NonForest,seasonal_jja,GH
2010,0.0,BA_Forest_NonForest,seasonal_jja,GH
2011,0.0,BA_Forest_NonForest,seasonal_jja,GH
2012,0.0,BA_Forest_NonForest,seasonal_jja,GH
2013,0.0,BA_Forest_NonForest,seasonal_jja,GH
2014,0.0,BA_Forest_NonForest,seasonal_jja,GH
2015,0.0,BA_Forest_NonForest,seasonal_jja,GH
2016,0.0,BA_Forest_NonForest,seasonal_jja,GH
2017,0.0,BA_Forest_NonForest,seasonal_jja,GH
2018,0.0,BA_Forest_NonForest,seasonal_jja,GH
2019,0.0,BA_Forest_NonForest,seasonal_jja,GH
2020,0.0,BA_Forest_NonForest,seasonal_jja,GH
2021,0.0,BA_Forest_NonForest,seasonal_jja,GH
2022,0.0,BA_Forest_NonForest,seasonal_jja,GH
2023,0.0,BA_Forest_NonForest,seasonal_jja,GH
