year,sum,variable,timescale,country
2001,30.34,BA_Total,seasonal_mam,COL
2002,6.989000000000001,BA_Total,seasonal_mam,COL
2003,28.885999999999996,BA_Total,seasonal_mam,COL
2004,17.403,BA_Total,seasonal_mam,COL
2005,23.189,BA_Total,seasonal_mam,COL
2006,12.891999999999996,BA_Total,seasonal_mam,COL
2007,17.453,BA_Total,seasonal_mam,COL
2008,35.899,BA_Total,seasonal_mam,COL
2009,17.421,BA_Total,seasonal_mam,COL
2010,4.561999999999999,BA_Total,seasonal_mam,COL
2011,6.899999999999998,BA_Total,seasonal_mam,COL
2012,10.238999999999999,BA_Total,seasonal_mam,COL
2013,7.173,BA_Total,seasonal_mam,COL
2014,23.997,BA_Total,seasonal_mam,COL
2015,28.258,BA_Total,seasonal_mam,COL
2016,19.160999999999998,BA_Total,seasonal_mam,COL
2017,10.315999999999999,BA_Total,seasonal_mam,COL
2018,21.631999999999998,BA_Total,seasonal_mam,COL
2019,21.194000000000003,BA_Total,seasonal_mam,COL
2020,49.589,BA_Total,seasonal_mam,COL
2021,8.796999999999999,BA_Total,seasonal_mam,COL
2022,14.743999999999996,BA_Total,seasonal_mam,COL
2023,18.298,BA_Total,seasonal_mam,COL
