year,sum,variable,timescale,region
2001,0.007,BA_Forest_NonForest,seasonal_son,BS
2002,0.0,BA_Forest_NonForest,seasonal_son,BS
2003,0.0,BA_Forest_NonForest,seasonal_son,BS
2004,0.01,BA_Forest_NonForest,seasonal_son,BS
2005,0.0,BA_Forest_NonForest,seasonal_son,BS
2006,0.0,BA_Forest_NonForest,seasonal_son,BS
2007,0.0,BA_Forest_NonForest,seasonal_son,BS
2008,0.023,BA_Forest_NonForest,seasonal_son,BS
2009,0.0,BA_Forest_NonForest,seasonal_son,BS
2010,0.0,BA_Forest_NonForest,seasonal_son,BS
2011,0.0,BA_Forest_NonForest,seasonal_son,BS
2012,0.0,BA_Forest_NonForest,seasonal_son,BS
2013,0.035,BA_Forest_NonForest,seasonal_son,BS
2014,0.0,BA_Forest_NonForest,seasonal_son,BS
2015,0.0,BA_Forest_NonForest,seasonal_son,BS
2016,0.002,BA_Forest_NonForest,seasonal_son,BS
2017,0.0,BA_Forest_NonForest,seasonal_son,BS
2018,0.0,BA_Forest_NonForest,seasonal_son,BS
2019,0.027999999999999997,BA_Forest_NonForest,seasonal_son,BS
2020,0.0,BA_Forest_NonForest,seasonal_son,BS
2021,0.0,BA_Forest_NonForest,seasonal_son,BS
2022,0.0,BA_Forest_NonForest,seasonal_son,BS
2023,0.0,BA_Forest_NonForest,seasonal_son,BS
