year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,ML
2002,0.033,BA_Forest_NonForest,seasonal_djf,ML
2003,0.020000000000000004,BA_Forest_NonForest,seasonal_djf,ML
2004,0.003,BA_Forest_NonForest,seasonal_djf,ML
2005,0.035,BA_Forest_NonForest,seasonal_djf,ML
2006,0.023,BA_Forest_NonForest,seasonal_djf,ML
2007,0.07,BA_Forest_NonForest,seasonal_djf,ML
2008,0.039,BA_Forest_NonForest,seasonal_djf,ML
2009,0.899,BA_Forest_NonForest,seasonal_djf,ML
2010,0.37,BA_Forest_NonForest,seasonal_djf,ML
2011,0.016000000000000004,BA_Forest_NonForest,seasonal_djf,ML
2012,0.018000000000000002,BA_Forest_NonForest,seasonal_djf,ML
2013,0.256,BA_Forest_NonForest,seasonal_djf,ML
2014,0.048,BA_Forest_NonForest,seasonal_djf,ML
2015,0.11000000000000001,BA_Forest_NonForest,seasonal_djf,ML
2016,0.008,BA_Forest_NonForest,seasonal_djf,ML
2017,0.0,BA_Forest_NonForest,seasonal_djf,ML
2018,0.027,BA_Forest_NonForest,seasonal_djf,ML
2019,0.073,BA_Forest_NonForest,seasonal_djf,ML
2020,0.008,BA_Forest_NonForest,seasonal_djf,ML
2021,0.01,BA_Forest_NonForest,seasonal_djf,ML
2022,0.002,BA_Forest_NonForest,seasonal_djf,ML
2023,0.005,BA_Forest_NonForest,seasonal_djf,ML
