year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2003,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2004,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2005,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2006,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2007,0.0005079353605144043,Cem_Forest_NonForest,yearly_jj,GNQ
2008,0.00031973290741735836,Cem_Forest_NonForest,yearly_jj,GNQ
2009,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2010,0.00021774100709906006,Cem_Forest_NonForest,yearly_jj,GNQ
2011,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2012,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2013,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2014,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2015,0.0002794552437076416,Cem_Forest_NonForest,yearly_jj,GNQ
2016,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2017,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2018,0.00022491706956066895,Cem_Forest_NonForest,yearly_jj,GNQ
2019,0.0,Cem_Forest_NonForest,yearly_jj,GNQ
2020,0.0006320005688014526,Cem_Forest_NonForest,yearly_jj,GNQ
