year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2002,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2003,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2004,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2005,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2006,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2007,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2008,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2009,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2010,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2011,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2012,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2013,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2014,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2015,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2016,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2017,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2018,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2019,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2020,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2021,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2022,0.0,BA_Forest_NonForest,seasonal_mam,TLS
2023,0.0,BA_Forest_NonForest,seasonal_mam,TLS
