year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.02,0.0,0.0,0.0,BA_Total,monthly,XKO
2004,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.017,0.002,0.0,0.0,0.0,BA_Total,monthly,XKO
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.051,0.0,0.005,0.01,0.0,BA_Total,monthly,XKO
2006,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2007,0.0,0.0,0.0,0.001,0.0,0.006,0.667,0.17,0.048,0.0,0.0,0.0,BA_Total,monthly,XKO
2008,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2009,0.0,0.0,0.0,0.01,0.0,0.003,0.012,0.0,0.0,0.0,0.05,0.0,BA_Total,monthly,XKO
2010,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2011,0.0,0.002,0.0,0.0,0.0,0.0,0.004,0.119,0.041999999999999996,0.048,0.462,0.0,BA_Total,monthly,XKO
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.18900000000000003,0.083,0.001,0.0,0.0,BA_Total,monthly,XKO
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.009000000000000001,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.024,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.067,0.0,0.004,0.023,BA_Total,monthly,XKO
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.026000000000000002,0.042,0.0,0.0,BA_Total,monthly,XKO
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.035,0.013999999999999999,0.0,BA_Total,monthly,XKO
2019,0.0,0.0,0.09899999999999999,0.016,0.0,0.0,0.0,0.044,0.031,0.07200000000000001,0.009000000000000001,0.0,BA_Total,monthly,XKO
2020,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2021,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.10700000000000001,0.002,0.0,0.0,0.0,BA_Total,monthly,XKO
2022,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,XKO
2023,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,BA_Total,monthly,XKO
