year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_djf,ESP
2003,0.00018575611604266357,Cem_Forest_NonForest,seasonal_djf,ESP
2004,0.009814273429916868,Cem_Forest_NonForest,seasonal_djf,ESP
2005,0.0024650852509240226,Cem_Forest_NonForest,seasonal_djf,ESP
2006,0.008018001550205689,Cem_Forest_NonForest,seasonal_djf,ESP
2007,0.0,Cem_Forest_NonForest,seasonal_djf,ESP
2008,0.01880188999024768,Cem_Forest_NonForest,seasonal_djf,ESP
2009,0.004653737360248565,Cem_Forest_NonForest,seasonal_djf,ESP
2010,0.0,Cem_Forest_NonForest,seasonal_djf,ESP
2011,0.0030000009115503847,Cem_Forest_NonForest,seasonal_djf,ESP
2012,0.022423820126410893,Cem_Forest_NonForest,seasonal_djf,ESP
2013,0.0,Cem_Forest_NonForest,seasonal_djf,ESP
2014,0.0042661318308130185,Cem_Forest_NonForest,seasonal_djf,ESP
2015,0.002651936593973587,Cem_Forest_NonForest,seasonal_djf,ESP
2016,0.1358769524533409,Cem_Forest_NonForest,seasonal_djf,ESP
2017,0.008217134552220855,Cem_Forest_NonForest,seasonal_djf,ESP
2018,0.0014100935064305419,Cem_Forest_NonForest,seasonal_djf,ESP
2019,0.02216106977903662,Cem_Forest_NonForest,seasonal_djf,ESP
2020,0.016125003573188215,Cem_Forest_NonForest,seasonal_djf,ESP
